id	text	audio_id	audio_distance	region
0	¿qué sonido se comporta como analogía de la luz? bosques grises en el volumen de la sombra	24	0.9200232730230804	r1-1-3
1	mis manos dividen presurosas rescatando a un animal rabioso	14	0.4726646122907904	r2-1-3
2	un observador se aleja del mundo al momento de mesurarlo viajan los insectos deformando la ciénaga	20	0.6105623946551254	r2-2-2
3	la naturaleza duerme en la fragilidad del viento	21	0.9374605980333431	r2-2-3
4	pero se puede pegar el dibujo de una manzana en su mansedumbre y susurrar sin miedo la palabra hambre	26	0.8441035962827923	r2-0-2
5	he tragado mis labios amainan mientras modulan vuelvo al asunto del aire	44	0.4169747443505212	r3-2-2
6	porque las pezuñas del perro ritman cuando enmudecen imagino los colores del agua en su caída	43	0.6006626128883844	r3-1-1
7	una membrana percibe flujos, tejidos	5	0.5324073726944888	r2-0-3
8	pero poco puede ser dicho a partir de ese simple movimiento una onda es representada y se desvanece	26	0.6647108716882212	r2-0-3
9	la mano dibuja su final	13	0.4928691536313999	r2-1-3
10	diminutos gestos guían la gradiente el barro vibra frente al nudo	1	0.24843561069036388	r2-1-3
11	vaho de lo múltiple	8	0.6187793500726998	r1-1-2
12	la niebla se derrama sobre el paisaje minúsculos granos	13	0.2801017972495487	r2-1-3
13	matices degradan hacia lo verde	42	0.1717919207906311	r3-1-2
14	el ojo es un cuenco rodeado de sombras que obstaculizan su diámetro	28	0.7987870422686935	r2-0-2
15	en pocos minutos el silencio describe su fracaso con los puños el tímpano agoniza	6	1.2696792373302228	r2-0-1
16	las superficies tiemblan en diferente grado e intensidad colores de vagos reflejos	29	1.0036922378127446	r1-0-2
17	de azul se tiñe la totalidad del paisaje	21	1.2654839267347084	r1-2-3
18	resbala el aroma del amarillo en los girasoles aceite de nuez o linaza	39	1.7299550732118705	r2-2-0
19	para estampar simulacros de luz	8	0.4972864928898312	r1-1-2
20	contrae el aire tibio que refracta con violencia desde mi cabeza	28	0.5882238053329132	r2-0-2
21	recuerdos humedecen la fronda	3	0.4355833003201048	r2-1-3
22	el corazón desaloja su ingenuidad	38	1.2507575869084053	r3-0-2
23	sobra tiempo para entumirse ante los días	42	1.18456145467987	r2-1-1
24	cargado de cenizas	19	1.4163426587656505	r0-1-2
25	el torso guía trayectos alucinados	36	0.5236791048350561	r3-1-2
26	caminaba espejos quitando los ojos de la lluvia mi cabeza grita cerro abajo	8	0.508204857510802	r1-1-2
27	dejé de dormir para escuchar los crujidos acaricio al perro que se ladra a sí mismo	14	0.8168527142233278	r2-1-2
28	¿cuántas voces retraigo para dejar de oír? una mujer silenciosa olvida su dolor	28	0.7846760500824452	r2-0-2
29	hay órganos insensibles pero el hígado deja de funcionar sobreviviremos celebrando la posibilidad de untar en leche remedios amargos de plantas venenosas	19	0.5632632765342245	r1-0-2
30	teñir velando	14	0.5583572110498446	r2-0-2
31	canto pausado del gesto desierto el color	44	0.7238079012184985	r3-2-2
32	veladura del óleo traslúcido	45	2.096824323655355	r3-3-2
33	en el intersticio de los cuerpos se puede distinguir la mano que discurre dos amigos se reúnen para simplificar el trabajo	8	0.5685834333512544	r2-1-2
34	mientras sustraen el tiempo de bosques y cornamentas campesinos que avanzan hacia su centro	28	0.2468151277810743	r2-0-2
35	las alas de las libélulas se untan en el papel	25	1.0134657985548408	r2-0-2
36	algunos científicos recorren nuevos mundos a tientas	14	0.3655310268042602	r2-1-2
37	los miniaturistas acompañan con sus cuadernos de dibujo cada pintor tiene su banco de imágenes	29	0.5345608151188289	r1-0-2
38	el cruce de los Alpes o leones descoloridos tardíos tulipanes florecientes	19	1.9182651317783135	r1-0-0
39	el lóbulo tendrá fragmentos del sol	45	0.875973215191095	r3-2-2
40	mientras comento sobre los días nublados y las olas de siete metros cromatismos que amplifican o reducen la porosidad de lo audible los objetos suenan el clímax de la brisa o su abandono	31	0.5554143240214425	r1-0-2
41	mi madre grita lanzando una jauría de flores	26	0.9116975132422472	r2-0-2
42	nos ocultamos bajo el mesón y la llama flota en el líquido por la mañana las camas parecen de acero	3	0.425563738912273	r2-1-3
43	recomiendan mirar los cuadros con lupa	42	1.1576002016987332	r2-1-1
44	las flores se equivocan de color para quien intenta retratarlas Flandes cabe en un rectángulo de uno por cinco	26	0.47975036346598704	r2-0-3
45	la flor destila su resonancia	5	0.3376023827859667	r3-0-3
46	aunque ha sido apresada por el nombre	14	0.4831774786002421	r3-1-2
47	el signo del fabricante de retablos traspasa la escena dos manos se juntan como águilas bicéfalas	21	1.2771210345238386	r2-2-3
48	basta una pincelada para difuminar el humo del volcán	44	1.0854375566544565	r3-2-3
49	la pintura del mármol se puede mascar con las pinzas de un insecto flores de nuevo o espinas referidas a Cristo	2	0.7115414494691744	r1-1-3
50	Rubens disuelve la silueta	2	0.34361638521384913	r2-1-3
51	el fondo se enmascara invadido de sombra	26	0.5415634668832863	r2-0-3
52	los paisajes resaltan la lejana arquitectura geométrica del pueblo cuatro puntos de fuga para diluir los cauces	39	0.8311652132054759	r2-2-1
53	ligando el ojo en dos partes antagónicas	14	0.25551048483000016	r2-1-2
54	¿cuántas capas pueden solaparse sin distorsionar el sentido? ciertos colores dañan las pupilas	5	0.6054306100014909	r2-0-2
55	bajo el agua nos preguntamos sobre la espesura del grito	21	0.6924835217915922	r2-2-3
56	pero en la superficie respiramos ingenuos los verdes de la pradera si pudiera manchar el aire con las manos chorreadas de aceite escucharías el arrullo de las hojas pálidas y exhaustas	24	0.733807542792271	r1-0-2
57	los nombres comenzaron a desperdigarse	37	3.091324614152196	r1-1-0
58	solo dos colores fueron necesarios para describir la fantasmagoría habitaba el círculo de un lugar que expulsa	3	0.45239734320974884	r2-0-3
59	de mano en mano la piel manchada me olvida mirar parece un acto desesperado encumbraba un volantín desde el tejado	13	0.5225716896662312	r2-1-3
60	cuidando de pisar las tablas entre las ondulaciones las piedras que presionan contra el viento	25	0.8104291825706191	r2-0-3
61	dejó de subirse a los árboles y comenzó a comerse las uñas mientras cuidaba que nadie robara los zapatos de su padre nadie escuchó como rumiaba	29	0.6813007655508506	r2-0-2
62	las palabras se abren como madera mojada	5	0.683843331723344	r2-0-3
63	¿si el silencio fuera un color?	14	0.39718796403573214	r3-1-2
